file_path,line_number,type,severity,description
/ebean-core/src/main/java/io/ebeaninternal/server/loadcontext/DLoadBeanContext.java,98,Quality,Medium,Type: Using invalid iterator | Category: API usage errors
/ebean-api/src/main/java/io/ebean/config/dbplatform/DbPlatformTypeParser.java,29,Quality,Medium,Type: Arguments in wrong order | Category: API usage errors
/ebean-ddl-generator/src/main/java/io/ebeaninternal/dbmigration/ddlgeneration/platform/AbstractHanaDdl.java,110,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/kotlin-querybean-generator/src/main/java/io/ebean/querybean/generator/PropertyTypeAssoc.java,27,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/querybean-generator/src/main/java/io/ebean/querybean/generator/PropertyTypeAssoc.java,27,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/ebean-ddl-generator/src/main/java/io/ebeaninternal/dbmigration/ddlgeneration/platform/DB2Ddl.java,113,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryUpdate.java,87,Quality,Medium,Type: Unguarded write | Category: Concurrent data access violations
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryRowCount.java,70,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQuery.java,749,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryFetchSingleAttribute.java,166,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQuery.java,570,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQuery.java,550,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryBindCapture.java,38,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryFetchSingleAttribute.java,112,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryBindCapture.java,83,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
