file_path,line_number,type,severity,description
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java,894,Quality,Medium,Type: Using invalid iterator | Category: API usage errors
/openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/BinaryExpressionPredicate.java,71,Quality,Medium,Type: Arguments in wrong order | Category: API usage errors
/openjpa-examples/openbooks/src/main/java/openbook/domain/Book.java,138,Quality,Medium,Type: Unsafe dependence on database key | Category: API usage errors
/openjpa-examples/openbooks/src/main/java/openbook/domain/Book.java,151,Quality,Medium,Type: Unsafe dependence on database key | Category: API usage errors
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,1430,Quality,Medium,Type: Arguments in wrong order | Category: API usage errors
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,442,Quality,Medium,Type: Arguments in wrong order | Category: API usage errors
/openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/UnaryExpressionPredicate.java,64,Quality,Medium,Type: Arguments in wrong order | Category: API usage errors
/openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCRegistry.java,224,Quality,Medium,Type: Using invalid iterator | Category: API usage errors
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,622,Quality,Medium,Type: Arguments in wrong order | Category: API usage errors
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java,50,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/UnmodifiableEntrySet.java,164,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FoxProDictionary.java,131,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java,493,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/H2Dictionary.java,303,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,389,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/LinkedMap.java,253,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/RootImpl.java,119,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,210,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,1651,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java,1027,Quality,Medium,Type: Failure to call super.clone() | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGroup.java,463,Quality,Medium,Type: Failure to call super.clone() | Category: Class hierarchy inconsistencies
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingFetchConfiguration.java,518,Quality,Medium,Type: Failure to call super.clone() | Category: Class hierarchy inconsistencies
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FetchConfigurationImpl.java,209,Quality,Medium,Type: Failure to call super.clone() | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java,305,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java,1048,Quality,Medium,Type: Failure to call super.clone() | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifier.java,324,Quality,Medium,Type: Failure to call super.clone() | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java,321,Quality,Medium,Type: Missing call to superclass | Category: Class hierarchy inconsistencies
/openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentHashMap.java,629,Quality,Medium,Type: Failure to call super.clone() | Category: Class hierarchy inconsistencies
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InstanceofExpression.java,69,Quality,Low,Type: Unused value | Category: Code maintainability issues
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,4476,Quality,Low,Type: Unused value | Category: Code maintainability issues
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java,1690,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JESTServlet.java,138,Quality,High,Type: Unlocked write | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java,255,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java,766,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/XMLFormatter.java,447,Quality,High,Type: Unlocked write | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/ee/OSGiManagedRuntime.java,Various,Quality,Medium,Type: Data race condition | Category: Concurrent data access violations
/openjpa-lib/src/main/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java,640,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/conf/CacheMarshallersValue.java,Various,Quality,High,Type: Unlocked write | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/event/LifecycleEventManager.java,252,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,634,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ObjectValue.java,123,Quality,High,Type: Unlocked write | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/util/CacheMap.java,276,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCRegistry.java,251,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,3924,Quality,High,Type: Unlocked write | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/util/CacheMap.java,508,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/util/CacheMap.java,637,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java,879,Quality,High,Type: Unlocked write | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java,900,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ValueMapDiscriminatorStrategy.java,96,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/enhance/Reflection.java,96,Quality,High,Type: Unlocked write | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AuditManager.java,147,Quality,Medium,Type: Unguarded write | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/event/TCPRemoteCommitProvider.java,673,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/AnnotationProcessor6.java,228,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/util/CacheMap.java,533,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-lib/src/main/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java,464,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ClearableScheduler.java,88,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/event/TCPRemoteCommitProvider.java,580,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,687,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java,149,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
/openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java,622,Quality,Medium,Type: Unguarded read | Category: Concurrent data access violations
