package,file_path,subsystem_frequency
ebean,kotlin-querybean-generator,3
ebean,ebean-redis,2
ebean,querybean-generator,2
ebean,ebean-core-type,3
ebean,ebean-test,3
ebean,ebean-api,10
ebean,ebean-ddl-generator,11
ebean,tests,16
ebean,platforms,1
ebean,ebean-core,134
hibernate,local-build-plugins,22
openjpa,openjpa-persistence,58
openjpa,openjpa-jdbc,202
openjpa,openjpa-junit5,2
openjpa,openjpa-lib,58
openjpa,openjpa-kernel,258
openjpa,openjpa-examples,36
openjpa,openjpa-tools,16
openjpa,openjpa-slice,36
openjpa,openjpa-jest,20
openjpa,openjpa-persistence-jdbc,20
ponyorm,pony/utils,1
ponyorm,pony/orm/tests,1
ponyorm,pony/orm/dbproviders,3
ponyorm,pony/orm,31
ponyorm,pony/javascript,2
sqlalchemy,test/orm,7
sqlalchemy,test/dialect/postgresql,1
sqlalchemy,test/base,1
sqlalchemy,lib/sqlalchemy,1
sqlalchemy,lib/sqlalchemy/pool,1
sqlalchemy,test/typing/plain_files,2
sqlalchemy,lib/sqlalchemy/testing,2
sqlalchemy,lib/sqlalchemy/sql,3
sqlalchemy,lib/sqlalchemy/dialects,3
sqlalchemy,test/ext/asyncio,3
sqlalchemy,test/sql,4
sqlalchemy,test/ext,5
sqlalchemy,lib/sqlalchemy/orm,5
sqlalchemy,lib/sqlalchemy/ext,2
sqlalchemy,setup.cfg,20
