package,file_path,file_frequency
sqlalchemy,test/orm/test_naturalpks.py,37
openjpa,openbooks/pom.xml,14
openjpa,openjpa-tools/openjpa-maven-plugin/pom.xml,12
openjpa,openjpa-examples/openbooks/web/query.jsp,12
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/AbstractCommand.java,10
openjpa,openjpa-examples/openbooks/web/search.jsp,8
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/dialect/functional/SQLServerDialectTempTableCollationTest.java,8
openjpa,openjpa-kubernetes/pom.xml,8
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/fetching/FetchingTest.java,7
ebean,ebean-postgis-types/pom.xml,6
openjpa,openjpa-jdbc/pom.xml,6
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/StoredProcedureQuery.java,6
sqlalchemy,test/perf/many_table_reflection.py,5
hibernate,hibernate-testing/src/main/java/org/hibernate/testing/cleaner/DB2DatabaseCleaner.java,5
hibernate,hibernate-testing/src/main/java/org/hibernate/testing/cleaner/SQLServerDatabaseCleaner.java,5
ponyorm,pony/orm/tests/test_entity_init.py,5
sqlalchemy,doc/build/requirements.txt,4
openjpa,openjpa-project/pom.xml,4
hibernate,hibernate-community-dialects/src/test/java/org/hibernate/community/dialect/functional/cache/SQLFunctionsInterSystemsTest.java,4
ebean,ebean-core/src/main/java/io/ebeaninternal/server/type/SimpleAesEncryptor.java,4
hibernate,hibernate-testing/src/main/java/org/hibernate/testing/cleaner/OracleDatabaseCleaner.java,4
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/annotations/cid/CompositeIdTest.java,4
sqlalchemy,test/orm/test_attributes.py,4
ebean,ebean-redis/pom.xml,4
ponyorm,pony/orm/tests/fixtures.py,4
sqlalchemy,test/ext/test_extendedattr.py,3
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/fetching/ProfileFetchingTest.java,3
openjpa,openjpa-tools/openjpa-fetch-statistics/pom.xml,2
openjpa,openjpa-integration/daytrader/src/test/java/org/apache/openjpa/integration/daytrader/AccountDataBean.java,2
openjpa,openjpa-examples/simple/pom.xml,2
openjpa,openjpa-examples/openbooks/src/main/java/openbook/server/DataLoader.java,2
openjpa,openjpa-examples/openbooks/web/orders.jsp,2
openjpa,openjpa-integration/jmx/pom.xml,2
openjpa,openjpa-examples/openbooks/pom.xml,2
openjpa,openjpa-examples/image-gallerypom.xml,2
openjpa,openjpa-all/pom.xml,2
openjpa,openjpa-integration/examples/pom.xml,2
sqlalchemy,lib/sqlalchemy/util/compat.py,2
openjpa,openjpa-integration/slf4j/pom.xml,2
