File Path,Line Number,Type,Severity,Description
hibernate-orm/hibernate-core/src/main/java/org/hibernate/jpa/boot/internal/PersistenceXmlParser.java,474,XML External Entity (XXE) Injection,Medium,"Unsanitized input from a database flows into executeQuery, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/main/java/org/hibernate/jpa/boot/internal/PersistenceXmlParser.java,74,SQL Injection,Medium,"Unsanitized input from data from a remote resource flows into parse, which allows expansion of external entity references. This may result in a XXE attack leading to the disclosure of confidential data or denial of service."
Breadcrumbshibernate-orm/hibernate-community-dialects/src/test/java/org/hibernate/community/dialect/functional/cache/SQLFunctionsInterSystemsTest.java,251,SQL Injection,Low,"Unsanitized input from a database flows into update, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
Breadcrumbshibernate-orm/hibernate-community-dialects/src/test/java/org/hibernate/community/dialect/functional/cache/SQLFunctionsInterSystemsTest.java,303,SQL Injection,Low,"Unsanitized input from a database flows into update, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/hql/ASTParserLoadingTest.java,2171,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/hql/ASTParserLoadingTest.java,2348,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-community-dialects/src/test/java/org/hibernate/community/dialect/functional/cache/SQLFunctionsInterSystemsTest.java,252,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-community-dialects/src/test/java/org/hibernate/community/dialect/functional/cache/SQLFunctionsInterSystemsTest.java,304,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/cid/CompositeIdTest.java,151,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/cid/CompositeIdTest.java,152,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/cid/CompositeIdTest.java,234,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/cid/CompositeIdTest.java,235,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/id/array/PrimitiveCharacterArrayIdTest.java,76,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/id/array/PrimitiveCharacterArrayIdTest.java,77,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/id/array/CharacterArrayIdTest.java,78,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/id/array/CharacterArrayIdTest.java,79,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/id/array/PrimitiveByteArrayIdTest.java,81,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/id/array/PrimitiveByteArrayIdTest.java,82,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/id/array/ByteArrayIdTest.java,83,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/id/array/ByteArrayIdTest.java,84,SQL Injection,Low,"Unsanitized input from a database flows into delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability."
