File Path,Line Number,Type,Severity,Description
openjpa/openjpa-jdbc/pom.xml,62,SQL Injection,Critical,"Affected versions of this package are vulnerable to SQL Injection when using PreferQueryMode=SIMPLE, which is not the default setting"
openjpa/openjpa-jdbc/pom.xml,57,Remote Code Execution,High,ffected versions of this package are vulnerable to Remote Code Execution (RCE) when using java.sql.Statement or java.sql.PreparedStatement to process untrusted input.
openjpa/openjpa-jdbc/pom.xml,67,Information Exposure,Low,"Affected versions of this package are vulnerable to Information Exposure. If a BasicDataSource is created with jmxName set, the password property is exposed via jmx and is visible to anyone who is connected to jmx port."
openjpa/openjpa-tools/openjpa-maven-plugin/pom.xml,81,Command Injection,Critical,"Affected versions of this package are vulnerable to Command Injection. The Commandline class can emit double-quoted strings without proper escaping, allowing shell injection attacks."
openjpa/openjpa-tools/openjpa-maven-plugin/pom.xml,81,Directory Traversal,Medium,"commons-io:commons-io is a The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more."
openjpa/openjpa-tools/openjpa-maven-plugin/pom.xml,81,EPL-1.0 License,Medium,org.apache.openjpa:openjpa-maven-plugin@4.0.1-SNAPSHOT › org.apache.maven:maven-compat@3.8.1 › org.apache.maven:maven-model-builder@3.8.1 › org.eclipse.sisu:org.eclipse.sisu.inject@0.3.4
openjpa/openjpa-tools/openjpa-maven-plugin/pom.xml,76,EPL-1.0 License,Medium,org.apache.openjpa:openjpa-maven-plugin@4.0.1-SNAPSHOT › org.apache.maven:maven-compat@3.8.1 › org.eclipse.sisu:org.eclipse.sisu.plexus@0.3.4
openjpa/openjpa-tools/openjpa-maven-plugin/pom.xml,81,Information Disclosure,Low,Affected versions of this package are vulnerable to Information Disclosure. The file permissions on the file created by com.google.common.io.Files.createTempDir allow an attacker running a malicious program co-resident on the same machine to steal secrets stored in this directory
openjpa/openjpa-tools/openjpa-maven-plugin/pom.xml,81,Creation of Temporary File in Directory with Insecure Permissions,Low,Affected versions of this package are vulnerable to Creation of Temporary File in Directory with Insecure Permissions due to the use of Java's default temporary directory for file creation in FileBackedOutputStream
openjpa/openjpa-examples/openbooks/web/query.jsp,91,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
openjpa/openjpa-examples/openbooks/web/query.jsp,123,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)."
openjpa/openjpa-examples/openbooks/web/query.jsp,124,Cross-Site Scripting (XSS),High,"Unsanitized input from an HTTP parameter flows into print, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS)"
