reviewer,package,file_path,line_number,type,severity,description,false_positive,Justification (if needed)
Krishna Raju,sqlalchemy,test/orm/test_naturalpks.py,1138,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found�hardcoded�credential used in�user_name.,Yes,Appears in the test folder so data is not real its just a sample string trying to test functionality
Krishna Raju,sqlalchemy,test/orm/test_naturalpks.py,1328,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found�hardcoded�credential used in�user_name.,Yes,Appears in the test folder so data is not real its just a sample string trying to test functionality
Krishna Raju,sqlalchemy,lib/sqlalchemy/util/compat.py,108,Use of Password Hash With Insufficient Computational Effort,Low,hashlib.md5�is insecure. Consider changing it to a secure hashing algorithm.,No ,MD5 is not a secure hashing algorithm and must be replaced with a secure alternative in this implementation
Krishna Raju,sqlalchemy,test/orm/test_naturalpks.py,686,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found�hardcoded�credential used in�user_name.,Yes,Appears in the test folder so data is not real its just a sample string trying to test functionality
Krishna Raju,sqlalchemy,test/orm/test_naturalpks.py,1139,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found�hardcoded�credential used in�user_name.,Yes,Appears in the test folder so data is not real its just a sample string trying to test functionality
Krishna Raju,hibernate,hibernate-testing/src/main/java/org/hibernate/testing/cleaner/SQLServerDatabaseCleaner.java,86,SQL Injection,Low,"Unsanitized input from�a database�flows�into�execute, where it is used in an SQL query. This may result in an SQL Injection vulnerability.",No ,"The SQL statement here is running without any input validation mechanisms which can lead to SQL Injection, To fix this the SQL statements must be validated before attempting to execute them on the database"
Krishna Raju,hibernate,hibernate-testing/src/main/java/org/hibernate/testing/cleaner/SQLServerDatabaseCleaner.java,229,SQL Injection,Low,"Unsanitized input from�a database�flows�into�execute, where it is used in an SQL query. This may result in an SQL Injection vulnerability.",No ,The SQL statement here is being concatenated with a string without validating it to form the SQL string. Instead Input parametrization should be used to add parameters to the SQL statement.
Krishna Raju,hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/dialect/functional/SQLServerDialectTempTableCollationTest.java,74,SQL Injection,Low,"Unsanitized input from�a database�flows�into�execute, where it is used in an SQL query. This may result in an SQL Injection vulnerability.",No ,The SQL statement here is being concatenated with a string without validating it to form the SQL string. Instead Input parametrization should be used to add parameters to the SQL statement.
Krishna Raju,hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/fetching/FetchingTest.java,112,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code.,Yes,"The Hard Coded credentials are not for a real user it is simply test data, having this data Hard coded does not impact security"
Krishna Raju,hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/annotations/cid/CompositeIdTest.java,152,SQL Injection,Low,"Unsanitized input from�a database�flows�into�delete, where it is used in an SQL query. This may result in an SQL Injection vulnerability.",No ,"The SQL statement here is running without any input validation mechanisms which can lead to SQL Injection, To fix this the SQL statements must be validated before attempting to execute them on the database"
