file_path,line_number,type,severity,description
sqlalchemy/doc/build/requirements.txt,5,HTTP Request Smuggling,Medium,Affected versions of this package are vulnerable to HTTP Request Smuggling via the parse and validate strings capabilities in the int constructor.
sqlalchemy/doc/build/requirements.txt,5,HTTP Request Smuggling,Medium,Affected versions of this package are vulnerable to HTTP Request Smuggling via the parse and validate strings capabilities in the int constructor.
sqlalchemy/doc/build/requirements.txt,5,MPL-2.0 License ,Medium,No remediation path available
sqlalchemy/doc/build/requirements.txt,5,Open Redirect,Low,"Affected versions of this package are vulnerable to Open Redirect via the StaticFileHandler class, due to improper validation of the default_filename parameter in the initialize function. Exploiting this vulnerability is possible under specific configurations and might result in a redirect to an attacker-controlled site."
sqlalchemy/examples/performance/__init__.py,332,Code Injection,Medium,"Unsanitized input from a command line argument flows into __import__, where it is executed as Python code. This may result in a Code Injection vulnerability."
sqlalchemy/examples/performance/__init__.py,391,Code Injection,Medium,"Unsanitized input from a command line argument flows into __import__, where it is executed as Python code. This may result in a Code Injection vulnerability."
sqlalchemy/lib/sqlalchemy/dialects/mssql/base.py,3168,SQL Injection,Medium,"Unsanitized input from a database flows into execute, where it is used in an SQL query. This may result in an SQL Injection vulnerability"
sqlalchemy/?test/ext/test_extendedattr.py,222,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/ext/test_extendedattr.py,255,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/ext/test_extendedattr.py,268,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_attributes.py,247,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_attributes.py,260,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_attributes.py,550,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_attributes.py,574,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_naturalpks.py,114,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_naturalpks.py,140,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_naturalpks.py,167,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_naturalpks.py,188,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_naturalpks.py,204,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_naturalpks.py,243,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_naturalpks.py,262,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
sqlalchemy/?test/orm/test_naturalpks.py,276,Use of Hardcoded Credentials,Low,Do not hardcode credentials in code. Found hardcoded credential used in user_name.
