package,file_path,subsystem_frequency
ebean,kotlin-querybean-generator,1
ebean,ebean-ddl-generator,2
ebean,ebean-querybean,2
ebean,ebean-spring-txn,2
ebean,composites,2
ebean,platforms,3
ebean,ebean-test,8
ebean,ebean-redis,4
ebean,ebean-core,7
ebean,ebean-postgis-types,6
hibernate,hibernate-core,52
hibernate,hibernate-testing,21
hibernate,hibernate-community-dialects,4
openjpa,openjpa-kernel,2
openjpa,openjpa-all,2
openjpa,openjpa-project,4
openjpa,openjpa-lib,4
openjpa,openjpa-jdbc,14
openjpa,openjpa-persistence-jdbc,6
openjpa,openjpa-kubernetes,8
openjpa,openjpa-jest,10
openjpa,openjpa-integration,12
openjpa,openbooks,14
openjpa,openjpa-tools,16
openjpa,openjpa-examples,30
ponyorm,pony/flask/example,1
ponyorm,pony/orm/examples,1
ponyorm,pony/orm/tests,11
ponyorm,pony/orm,1
sqlalchemy,test/orm,42
sqlalchemy,examples/dogpile_caching,1
sqlalchemy,test/perf,5
sqlalchemy,examples/performance,2
sqlalchemy,lib/sqlalchemy/util,2
sqlalchemy,test/ext,3
sqlalchemy,lib/sqlalchemy/dialects,1
sqlalchemy,doc/build,4
sqlalchemy,test/ext/asyncio,1
