file_path,line_number,type,severity,description
hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,71,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,346,BUG,MEDIUM,"Rename this method; there is a ""private"" method in the parent class with the same name."
hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/SybaseASELegacySqlAstTranslator.java,348,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/SybaseASELegacySqlAstTranslator.java,358,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
hibernate-core/src/main/java/org/hibernate/PropertySetterAccessException.java,45,BUG,MEDIUM,"""NullPointerException"" will be thrown when invoking method ""loggablePropertyValueString()""."
hibernate-core/src/main/java/org/hibernate/action/internal/AbstractEntityInsertAction.java,283,BUG,LOW,"Parameter 3 to this call is marked ""@NonNull"" but null could be passed."
hibernate-core/src/main/java/org/hibernate/action/internal/EntityAction.java,99,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
hibernate-core/src/main/java/org/hibernate/action/internal/EntityDeleteAction.java,170,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
hibernate-core/src/main/java/org/hibernate/action/internal/EntityIncrementVersionProcess.java,42,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
hibernate-core/src/main/java/org/hibernate/action/internal/EntityInsertAction.java,118,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
hibernate-core/src/main/java/org/hibernate/action/internal/EntityUpdateAction.java,181,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
hibernate-core/src/main/java/org/hibernate/boot/beanvalidation/BeanValidationIntegrator.java,96,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
hibernate-core/src/main/java/org/hibernate/boot/beanvalidation/TypeSafeActivator.java,110,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
hibernate-core/src/main/java/org/hibernate/boot/beanvalidation/TypeSafeActivator.java,382,BUG,MEDIUM,"Use an ""instanceof"" comparison instead."
hibernate-core/src/main/java/org/hibernate/boot/beanvalidation/TypeSafeActivator.java,417,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""idName"" is nullable here."
hibernate-core/src/main/java/org/hibernate/boot/cfgxml/internal/JaxbCfgProcessor.java,163,VULNERABILITY,HIGH,Disable access to external entities in XML parsing.
hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,965,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""logicalName"" is nullable here."
hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1003,BUG,LOW,"This method's return value is marked ""@NonNull"" but null is returned."
hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1068,BUG,LOW,Make this inner class static
hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1184,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""table"" is nullable here."
hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1219,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""table"" is nullable here."
hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1919,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""originalException"" is nullable here."
hibernate-core/src/main/java/org/hibernate/boot/internal/MetadataImpl.java,584,BUG,LOW,"This method's return value is marked ""@NonNull"" but null is returned."
hibernate-core/src/main/java/org/hibernate/boot/jaxb/internal/stax/LocalSchemaLocator.java,56,VULNERABILITY,HIGH,Disable access to external entities in XML parsing.
hibernate-core/src/main/java/org/hibernate/boot/model/internal/BasicValueBinder.java,379,BUG,MEDIUM,"""NullPointerException"" will be thrown when invoking method ""prepareBasicAttribute()""."
hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,158,BUG,MEDIUM,"""NullPointerException"" will be thrown when invoking method ""checkColumnInSameTable()""."
hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,208,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""targetEntity"" is nullable here."
hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,507,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""property"" is nullable here."
hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,552,BUG,MEDIUM,"Remove this ""break"" statement or make it conditional."
hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,600,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""idName"" is nullable here."
hibernate-core/src/main/java/org/hibernate/boot/model/internal/CollectionBinder.java,1014,BUG,MEDIUM,"""NullPointerException"" will be thrown when invoking method ""determineCollectionClassification()""."
hibernate-core/src/main/java/org/hibernate/boot/model/internal/ColumnsBuilder.java,168,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""columns"" is nullable here."
hibernate-core/src/main/java/org/hibernate/boot/model/internal/GeneratorBinder.java,201,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""idGenerator"" is nullable here."
