package,file_path,line_number,type,severity,description
ebean,ebean-api/src/main/java/io/ebean/bean/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-api/src/main/java/io/ebean/bean/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-api/src/main/java/io/ebean/cache/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-api/src/main/java/io/ebean/cache/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-api/src/main/java/io/ebean/common/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-api/src/main/java/io/ebean/common/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-api/src/main/java/io/ebean/config/DatabaseConfig.java,523,BUG,LOW,"Cast one of the operands of this multiplication operation to a ""long""."
ebean,ebean-api/src/main/java/io/ebean/config/dbplatform/DbDefaultValue.java,121,BUG,MEDIUM,"The return value of ""valueOf"" must be used."
ebean,ebean-api/src/main/java/io/ebean/config/dbplatform/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-api/src/main/java/io/ebean/config/dbplatform/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-api/src/main/java/io/ebean/config/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-api/src/main/java/io/ebean/config/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-api/src/main/java/io/ebean/event/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-api/src/main/java/io/ebean/event/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-api/src/main/java/io/ebean/overview.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <html> tag.
ebean,ebean-api/src/main/java/io/ebean/overview.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-api/src/main/java/io/ebean/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-api/src/main/java/io/ebean/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/cache/DefaultServerCache.java,259,BUG,LOW,"Cast one of the operands of this subtraction operation to a ""long""."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/cluster/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/cluster/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultBeanLoader.java,225,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,223,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,505,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,636,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,673,BUG,LOW,"Parameter 1 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,692,BUG,LOW,"Parameter 1 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,804,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,809,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,920,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,993,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1000,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1067,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1271,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1290,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1316,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1596,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1618,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1628,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1649,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1654,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1659,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1669,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1674,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1704,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1709,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1717,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1730,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1736,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1741,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1755,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1760,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1784,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1794,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1808,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1818,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1835,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1849,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1860,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1873,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1916,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1947,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1963,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,2193,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,2240,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,2249,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/MultiTenantDbCatalogSupplier.java,99,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/MultiTenantDbCatalogSupplier.java,109,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/MultiTenantDbSchemaSupplier.java,96,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/MultiTenantDbSchemaSupplier.java,113,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanDescriptor.java,152,BUG,LOW,"Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanDescriptor.java,153,BUG,LOW,"Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanListHelp.java,100,BUG,MEDIUM,"The return value of ""size"" must be used."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanMapHelp.java,147,BUG,MEDIUM,"The return value of ""size"" must be used."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanSetHelp.java,105,BUG,MEDIUM,"The return value of ""size"" must be used."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/generatedproperty/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/generatedproperty/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/id/ImportedIdSimple.java,79,BUG,LOW,"This class overrides ""equals()"" and should therefore also override ""hashCode()""."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/id/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/id/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/meta/DeployBeanProperty.java,1143,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/meta/DeployBeanProperty.java,1151,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/meta/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <html> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/meta/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
