package,file_path,subsystem_frequency
ebean,kotlin-querybean-generator,7
ebean,tests,1
ebean,ebean-redis,1
ebean,ebean-core,149
ebean,ebean-ddl-generator,2
ebean,querybean-generator,8
ebean,ebean-test,16
ebean,ebean-api,18
hibernate,hibernate-c3p0,1
hibernate,hibernate-jcache,1
hibernate,hibernate-jfr,2
hibernate,hibernate-community-dialects,3
hibernate,hibernate-envers,5
hibernate,hibernate-spatial,19
hibernate,hibernate-testing,22
hibernate,hibernate-core,377
hibernate,hibernate-proxool,1
hibernate,tooling,26
openjpa,openjpa-kernel,340
openjpa,openjpa-jdbc,232
openjpa,openjpa-persistence,158
openjpa,openjpa-lib,118
openjpa,openjpa-slice,58
openjpa,openjpa-tools,2
openjpa,pom.xml,6
openjpa,openjpa-jest,6
openjpa,openjpa-xmlstore,10
openjpa,openjpa-persistence-jdbc,20
openjpa,openjpa-examples,24
ponyorm,pony/orm/tests,33
ponyorm,pony/flask/example,6
ponyorm,pony/utils,1
ponyorm,pony/orm,12
ponyorm,pony/thirdparty,1
ponyorm,pony/orm/dbproviders,1
sqlalchemy,examples/custom_attributes,1
sqlalchemy,examples/materialized_paths,1
sqlalchemy,lib/sqlalchemy/event,1
sqlalchemy,test/typing/plain_files,16
sqlalchemy,lib/sqlalchemy/pool,1
sqlalchemy,lib/sqlalchemy/util,1
sqlalchemy,test/dialect,1
sqlalchemy,test/dialect/postgresql,26
sqlalchemy,test/orm,17
sqlalchemy,test/dialect/mssql,1
sqlalchemy,test/ext/asyncio,1
sqlalchemy,lib/sqlalchemy/ext,10
sqlalchemy,lib/sqlalchemy/sql,12
sqlalchemy,lib/sqlalchemy/engine,10
sqlalchemy,examples/performance,2
sqlalchemy,test/dialect/mysql,3
sqlalchemy,test/orm/inheritance,3
sqlalchemy,test/perf,57
sqlalchemy,examples/sharding,4
sqlalchemy,test/engine,24
sqlalchemy,lib/sqlalchemy/testing,5
sqlalchemy,examples/asyncio,5
sqlalchemy,test/orm/declarative,10
sqlalchemy,test/ext,10
sqlalchemy,lib/sqlalchemy/orm,7
sqlalchemy,test/base,8
sqlalchemy,lib/sqlalchemy/dialects,33
sqlalchemy,test/sql,58
sqlalchemy,test/aaa_profiling,5
