file_path,line_number,type,severity,description
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/bean/package.html,1,BUG,MAJOR,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/bean/package.html,1,BUG,MAJOR,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/cache/package.html,1,BUG,MAJOR,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/cache/package.html,1,BUG,MAJOR,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/common/package.html,1,BUG,MAJOR,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/common/package.html,1,BUG,MAJOR,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/config/DatabaseConfig.java,523,BUG,MINOR,"Cast one of the operands of this multiplication operation to a ""long""."
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/config/dbplatform/DbDefaultValue.java,121,BUG,MAJOR,"The return value of ""valueOf"" must be used."
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/config/dbplatform/package.html,1,BUG,MAJOR,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/config/dbplatform/package.html,1,BUG,MAJOR,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/config/package.html,1,BUG,MAJOR,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/config/package.html,1,BUG,MAJOR,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/event/package.html,1,BUG,MAJOR,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/event/package.html,1,BUG,MAJOR,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/overview.html,1,BUG,MAJOR,Insert a <!DOCTYPE> declaration to before this <html> tag.
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/overview.html,1,BUG,MAJOR,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/package.html,1,BUG,MAJOR,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
org.avaje:java11-oss:ebean-api/src/main/java/io/ebean/package.html,1,BUG,MAJOR,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/cache/DefaultServerCache.java,259,BUG,MINOR,"Cast one of the operands of this subtraction operation to a ""long""."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/cluster/package.html,1,BUG,MAJOR,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/cluster/package.html,1,BUG,MAJOR,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultBeanLoader.java,225,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,223,BUG,MINOR,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,505,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,636,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,673,BUG,MINOR,"Parameter 1 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,692,BUG,MINOR,"Parameter 1 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,804,BUG,MINOR,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,809,BUG,MINOR,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,920,BUG,MINOR,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
