package,file_path,file_frequency
sqlalchemy,test/perf/compiled_extensions.py,56
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCState.java,46
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,44
sqlalchemy,test/sql/test_operators.py,38
hibernate,hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,29
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java,28
openjpa,openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,24
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SolidDBDictionary.java,22
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,16
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/PredicateOperand.java,16
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/TreeBidiMap.java,16
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/Expressions.java,16
ponyorm,pony/orm/tests/test_db_session.py,15
hibernate,hibernate-core/src/main/java/org/hibernate/engine/internal/EntityEntryContext.java,15
openjpa,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCStoreManager.java,14
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,14
hibernate,tooling/metamodel-generator/src/main/java/org/hibernate/processor/validation/ProcessorSessionFactory.java,13
sqlalchemy,test/dialect/postgresql/test_types.py,13
sqlalchemy,test/engine/test_parseconnect.py,13
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java,12
hibernate,hibernate-core/src/main/java/org/hibernate/internal/SessionImpl.java,12
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,10
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/util/ProxyManagerImpl.java,10
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,10
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,10
sqlalchemy,test/typing/plain_files/sql/operators.py,10
