file_path,line_number,type,severity,description
org.hibernate.orm:hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,71,BUG,BLOCKER,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
org.hibernate.orm:hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdSqlAstTranslator.java,346,BUG,MAJOR,"Rename this method; there is a ""private"" method in the parent class with the same name."
org.hibernate.orm:hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/SybaseASELegacySqlAstTranslator.java,348,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/SybaseASELegacySqlAstTranslator.java,358,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/PropertySetterAccessException.java,45,BUG,MAJOR,"""NullPointerException"" will be thrown when invoking method ""loggablePropertyValueString()""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/action/internal/AbstractEntityInsertAction.java,283,BUG,MINOR,"Parameter 3 to this call is marked ""@NonNull"" but null could be passed."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/action/internal/EntityAction.java,99,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/action/internal/EntityDeleteAction.java,170,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/action/internal/EntityIncrementVersionProcess.java,42,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/action/internal/EntityInsertAction.java,118,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/action/internal/EntityUpdateAction.java,181,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/beanvalidation/BeanValidationIntegrator.java,96,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/beanvalidation/TypeSafeActivator.java,110,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/beanvalidation/TypeSafeActivator.java,382,BUG,MAJOR,"Use an ""instanceof"" comparison instead."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/beanvalidation/TypeSafeActivator.java,417,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""idName"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/cfgxml/internal/JaxbCfgProcessor.java,163,VULNERABILITY,BLOCKER,Disable access to external entities in XML parsing.
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,965,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""logicalName"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1003,BUG,MINOR,"This method's return value is marked ""@NonNull"" but null is returned."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1068,BUG,MINOR,Make this inner class static
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1184,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""table"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1219,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""table"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1919,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""originalException"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/internal/MetadataImpl.java,584,BUG,MINOR,"This method's return value is marked ""@NonNull"" but null is returned."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/jaxb/internal/stax/LocalSchemaLocator.java,56,VULNERABILITY,BLOCKER,Disable access to external entities in XML parsing.
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/BasicValueBinder.java,379,BUG,MAJOR,"""NullPointerException"" will be thrown when invoking method ""prepareBasicAttribute()""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,158,BUG,MAJOR,"""NullPointerException"" will be thrown when invoking method ""checkColumnInSameTable()""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,208,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""targetEntity"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,507,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""property"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,552,BUG,MAJOR,"Remove this ""break"" statement or make it conditional."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,600,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""idName"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/CollectionBinder.java,1014,BUG,MAJOR,"""NullPointerException"" will be thrown when invoking method ""determineCollectionClassification()""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/ColumnsBuilder.java,168,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""columns"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/GeneratorBinder.java,201,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""idGenerator"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/GeneratorBinder.java,213,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""idGenerator"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/InheritanceState.java,291,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""superClass"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/internal/TableBinder.java,690,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""columns"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/FilterDefinitionBinder.java,84,BUG,MINOR,"Parameter 2 to this constructor is marked ""@NonNull"" but null could be passed."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/query/SqlResultSetMappingDescriptor.java,376,BUG,MINOR,"Parameter 2 to this constructor is marked ""@NonNull"" but null could be passed."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/AggregatedClassLoader.java,67,BUG,MINOR,"Add a ""NoSuchElementException"" for iteration beyond the end of the collection."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/AggregatedClassLoader.java,108,BUG,MINOR,"Add a ""NoSuchElementException"" for iteration beyond the end of the collection."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/AggregatedClassLoader.java,145,BUG,MINOR,"Add a ""NoSuchElementException"" for iteration beyond the end of the collection."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/ClassLoaderServiceImpl.java,45,BUG,MINOR,"Use a thread-safe type; adding ""volatile"" is not enough to make this field thread-safe."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/ClassLoaderServiceImpl.java,152,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""name"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/ClassLoaderServiceImpl.java,192,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""name"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/boot/xsd/LocalXsdResolver.java,94,VULNERABILITY,BLOCKER,Disable access to external entities in XML parsing.
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/CodeTemplates.java,88,BUG,MINOR,"Introduce a new variable instead of reusing the parameter ""returned""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/CodeTemplates.java,95,BUG,MINOR,"Introduce a new variable instead of reusing the parameter ""returned""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/CodeTemplates.java,105,BUG,MINOR,"Introduce a new variable instead of reusing the parameter ""returned""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/CodeTemplates.java,112,BUG,MINOR,"Introduce a new variable instead of reusing the parameter ""returned""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/CodeTemplates.java,122,BUG,MINOR,"Introduce a new variable instead of reusing the parameter ""returned""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/CodeTemplates.java,131,BUG,MINOR,"Introduce a new variable instead of reusing the parameter ""returned""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/CodeTemplates.java,305,BUG,MINOR,"Parameter 1 to this call is marked ""@NonNull"" but null could be passed."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/CodeTemplates.java,315,BUG,MINOR,"Introduce a new variable instead of reusing the parameter ""lazyInterceptor""."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/EnhancerImpl.java,603,BUG,MAJOR,"Ensure this ""Optional"" could never be null and remove this null-check."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/InlineDirtyCheckingHandler.java,90,BUG,MAJOR,"Call ""Optional#isPresent()"" or ""!Optional#isEmpty()"" before accessing the value."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/spi/LazyPropertyInitializer.java,26,BUG,MINOR,Make this inner class static
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/enhance/spi/interceptor/LazyAttributeLoadingInterceptor.java,167,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/internal/BytecodeEnhancementMetadataPojoImpl.java,161,BUG,MINOR,"Parameter 3 to this call is marked ""@NonNull"" but null could be passed."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/internal/BytecodeEnhancementMetadataPojoImpl.java,278,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/internal/bytebuddy/BytecodeProviderImpl.java,172,BUG,MINOR,"This method's return value is marked ""@NonNull"" but null is returned."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/internal/bytebuddy/BytecodeProviderImpl.java,1196,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/bytecode/internal/bytebuddy/HibernateMethodLookupDispatcher.java,129,BUG,MAJOR,"Use ""isAssignableFrom"" instead."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/cache/cfg/internal/DomainDataRegionConfigImpl.java,155,BUG,CRITICAL,Rename this method to avoid any possible confusion with Object.finalize().
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/cache/cfg/internal/DomainDataRegionConfigImpl.java,161,BUG,CRITICAL,Rename this method to avoid any possible confusion with Object.finalize().
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/cache/internal/CollectionCacheInvalidator.java,169,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/cache/spi/QueryKey.java,114,BUG,MINOR,Add a type test to this method.
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/cache/spi/QueryKey.java,126,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""that"" is nullable here."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/collection/spi/AbstractPersistentCollection.java,181,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/collection/spi/AbstractPersistentCollection.java,358,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/collection/spi/AbstractPersistentCollection.java,412,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/collection/spi/AbstractPersistentCollection.java,493,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/collection/spi/AbstractPersistentCollection.java,506,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/collection/spi/AbstractPersistentCollection.java,761,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""true"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/collection/spi/AbstractPersistentCollection.java,850,BUG,MINOR,"Add a ""NoSuchElementException"" for iteration beyond the end of the collection."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/AbstractHANADialect.java,1356,BUG,MINOR,Use another way to initialize this instance.
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/AbstractPostgreSQLStructJdbcType.java,303,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""getJdbcValueSelectable()"" can return null."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/AbstractPostgreSQLStructJdbcType.java,417,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""getJdbcValueSelectable()"" can return null."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/AbstractPostgreSQLStructJdbcType.java,482,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""getJdbcValueSelectable()"" can return null."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/AbstractPostgreSQLStructJdbcType.java,590,BUG,MAJOR,"A ""NullPointerException"" could be thrown; ""getJdbcValueSelectable()"" can return null."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/DerbySqlAstTranslator.java,200,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""true"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/DerbySqlAstTranslator.java,210,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""true"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/DerbySqlAstTranslator.java,220,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""true"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/H2SqlAstTranslator.java,243,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""true"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/H2SqlAstTranslator.java,251,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""true"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/HSQLSqlAstTranslator.java,250,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""true"""
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/OracleReflectionStructJdbcType.java,29,BUG,MAJOR,"Use an ""instanceof"" comparison instead."
org.hibernate.orm:hibernate-core/src/main/java/org/hibernate/dialect/SybaseASESqlAstTranslator.java,331,BUG,MAJOR,"Change this condition so that it does not always evaluate to ""false"""
