file_path,line_number,type,severity,description
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,18,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,40,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,68,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,87,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,89,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,91,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,93,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,119,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,161,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,163,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,165,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-examples/simple/src/main/java/reversemapping/schema/ToursDB_schema.sql,167,BUG,MEDIUM,Use VARCHAR2 instead of CHAR.
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/package.html,19,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <html> tag.
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/package.html,19,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/package.html,19,BUG,MEDIUM,Add a <title> tag to this page.
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/package.html,19,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <html> tag.
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/package.html,19,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/package.html,19,BUG,MEDIUM,Add a <title> tag to this page.
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifier.java,134,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""name"" is nullable here."
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifier.java,369,BUG,LOW,"This class overrides ""equals()"" and should therefore also override ""hashCode()""."
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifier.java,652,BUG,MEDIUM,"Either override Object.equals(Object obj), or totally rename the method to prevent any confusion."
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/QualifiedDBIdentifier.java,187,BUG,LOW,"This class overrides ""equals()"" and should therefore also override ""hashCode()""."
org.apache.openjpa:openjpa-parent:openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,182,BUG,HIGH,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause."
