file_path,line_number,type,severity,description
eecs4313group4_sqlalchemy:examples/asyncio/async_orm.py,52,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:examples/asyncio/async_orm_writeonly.py,54,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:examples/asyncio/basic.py,29,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:examples/asyncio/gather_orm_statements.py,68,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:examples/asyncio/greenlet_orm.py,70,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:examples/custom_attributes/active_column_defaults.py,47,BUG,MINOR,Introduce a new variable or use its initial value before reassigning 'value'.
eecs4313group4_sqlalchemy:examples/materialized_paths/materialized_paths.py,110,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:examples/performance/__init__.py,47,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:examples/performance/__init__.py,199,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:examples/sharding/asyncio.py,299,BUG,MAJOR,Do not perform equality checks with floating point values.
eecs4313group4_sqlalchemy:examples/sharding/separate_databases.py,278,BUG,MAJOR,Do not perform equality checks with floating point values.
eecs4313group4_sqlalchemy:examples/sharding/separate_schema_translates.py,207,BUG,MAJOR,Do not perform equality checks with floating point values.
eecs4313group4_sqlalchemy:examples/sharding/separate_tables.py,291,BUG,MAJOR,Do not perform equality checks with floating point values.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mssql/base.py,1953,BUG,MAJOR,Fix this attribute access on a value that can be 'None'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mssql/pyodbc.py,35,VULNERABILITY,BLOCKER,Make sure this database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/base.py,218,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/base.py,323,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/base.py,343,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/base.py,385,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/base.py,389,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/base.py,433,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/base.py,989,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/mysqldb.py,46,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/mysqldb.py,62,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/mysql/pymysql.py,37,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/oracle/base.py,1107,BUG,MAJOR,Remove this if statement or edit its code blocks so that they're not all the same.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/oracle/cx_oracle.py,508,BUG,MAJOR,Remove this if statement or edit its code blocks so that they're not all the same.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/base.py,171,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/base.py,272,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/base.py,318,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/base.py,421,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/base.py,1498,BUG,MAJOR,Remove or rework this redundant alternative.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/json.py,131,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/pg8000.py,55,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/pg8000.py,68,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/psycopg.py,32,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/psycopg.py,39,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/psycopg.py,45,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/psycopg2.py,63,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/psycopg2.py,88,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/psycopg2.py,266,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/psycopg2.py,313,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/psycopg2.py,474,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/postgresql/ranges.py,294,BUG,MAJOR,Change this condition so that it does not always evaluate to true; some subsequent code is never executed.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/sqlite/base.py,2405,BUG,MAJOR,Group parts of the regex together to make the intended operator precedence explicit.
eecs4313group4_sqlalchemy:lib/sqlalchemy/dialects/sqlite/base.py,2621,BUG,MAJOR,Group parts of the regex together to make the intended operator precedence explicit.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/base.py,2518,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/create.py,123,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/create.py,136,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/events.py,61,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/interfaces.py,2723,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/interfaces.py,2732,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/interfaces.py,2739,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/interfaces.py,2777,VULNERABILITY,BLOCKER,Make sure this MySQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/result.py,1875,BUG,BLOCKER,Return an object complying with iterator protocol. Consider explicitly raising a NotImplementedError if this class is not (yet) meant to support this method.
eecs4313group4_sqlalchemy:lib/sqlalchemy/engine/url.py,861,BUG,MINOR,Rework this part of the regex to not match the empty string.
eecs4313group4_sqlalchemy:lib/sqlalchemy/event/attr.py,110,BUG,BLOCKER,"Fix this code; ""_empty_collection"" does not have a ""__getitem__"" method."
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/associationproxy.py,1011,BUG,MAJOR,"Correct one of the identical sub-expressions on both sides of operator ""and""."
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/asyncio/base.py,136,BUG,BLOCKER,"Fix this code; ""StartableContext"" does not have a ""__getitem__"" method."
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/asyncio/engine.py,188,BUG,BLOCKER,"Fix this code; ""StartableContext"" does not have a ""__getitem__"" method."
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/asyncio/engine.py,1321,BUG,BLOCKER,"Fix this code; ""StartableContext"" does not have a ""__getitem__"" method."
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/asyncio/scoping.py,114,BUG,BLOCKER,Remove this unexpected named argument 'use_intermediate_variable'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/asyncio/session.py,1634,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/asyncio/session.py,1804,BUG,BLOCKER,"Fix this code; ""StartableContext"" does not have a ""__getitem__"" method."
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/automap.py,146,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/automap.py,176,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/ext/declarative/__init__.py,58,BUG,BLOCKER,"Change or remove this string; ""instrument_declarative"" is not defined."
eecs4313group4_sqlalchemy:lib/sqlalchemy/orm/context.py,1950,BUG,MINOR,Introduce a new variable or use its initial value before reassigning 'left'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/orm/decl_api.py,175,BUG,MINOR,Introduce a new variable or use its initial value before reassigning 'dict_'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/orm/dependency.py,414,BUG,MAJOR,Remove this if statement or edit its code blocks so that they're not all the same.
eecs4313group4_sqlalchemy:lib/sqlalchemy/orm/dynamic.py,175,BUG,BLOCKER,Return an object complying with iterator protocol. Consider explicitly raising a NotImplementedError if this class is not (yet) meant to support this method.
eecs4313group4_sqlalchemy:lib/sqlalchemy/orm/session.py,4882,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/orm/strategies.py,2286,BUG,MINOR,Introduce a new variable or use its initial value before reassigning 'adapter'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/orm/util.py,1404,BUG,MAJOR,Fix this attribute access on a value that can be 'None'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/pool/events.py,49,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/annotation.py,271,BUG,MINOR,Introduce a new variable or use its initial value before reassigning 'cls'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/cache_key.py,442,BUG,BLOCKER,Return a value of type `int` here.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/coercions.py,675,BUG,MINOR,Introduce a new variable or use its initial value before reassigning 'code'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/compiler.py,5699,BUG,MINOR,Introduce a new variable or use its initial value before reassigning 'visited_bindparam'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/elements.py,876,BUG,BLOCKER,Return a value of type `int` in this method. Consider explicitly raising a TypeError if this class is not meant to support this method.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/events.py,75,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/lambdas.py,220,BUG,MINOR,Introduce a new variable or use its initial value before reassigning 'fn'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/operators.py,570,BUG,BLOCKER,Return a value of type `int` in this method. Consider explicitly raising a TypeError if this class is not meant to support this method.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/schema.py,823,BUG,MAJOR,Remove or correct this useless self-assignment.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/schema.py,1885,VULNERABILITY,BLOCKER,Make sure this PostgreSQL database password gets changed and removed from the code.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/traversals.py,816,BUG,MAJOR,Fix this attribute access on a value that can be 'None'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/sql/util.py,1399,BUG,MAJOR,Fix this attribute access on a value that can be 'None'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/testing/assertions.py,353,BUG,MAJOR,Group parts of the regex together to make the intended operator precedence explicit.
eecs4313group4_sqlalchemy:lib/sqlalchemy/testing/assertions.py,356,BUG,MAJOR,Group parts of the regex together to make the intended operator precedence explicit.
eecs4313group4_sqlalchemy:lib/sqlalchemy/testing/plugin/plugin_base.py,402,BUG,BLOCKER,Remove this unexpected named argument 'raise_'.
eecs4313group4_sqlalchemy:lib/sqlalchemy/testing/suite/test_dialect.py,64,BUG,BLOCKER,"Add a ""self"" or class parameter"
eecs4313group4_sqlalchemy:lib/sqlalchemy/testing/suite/test_types.py,797,BUG,BLOCKER,"Add a ""self"" or class parameter"
eecs4313group4_sqlalchemy:lib/sqlalchemy/util/_collections.py,422,BUG,MAJOR,Change this condition so that it does not always evaluate to false; some subsequent code is never executed.
eecs4313group4_sqlalchemy:test/aaa_profiling/test_memusage.py,339,BUG,MAJOR,Remove or refactor this statement; it has no side effects.
eecs4313group4_sqlalchemy:test/aaa_profiling/test_memusage.py,339,BUG,MAJOR,Remove or refactor this statement; it has no side effects.
eecs4313group4_sqlalchemy:test/aaa_profiling/test_memusage.py,1437,BUG,MAJOR,"The return value of ""str"" must be used."
eecs4313group4_sqlalchemy:test/aaa_profiling/test_memusage.py,1459,BUG,MAJOR,"The return value of ""str"" must be used."
eecs4313group4_sqlalchemy:test/aaa_profiling/test_orm.py,238,BUG,MAJOR,Remove or refactor this statement; it has no side effects.
eecs4313group4_sqlalchemy:test/base/test_except.py,532,BUG,BLOCKER,"Add a ""self"" or class parameter"
eecs4313group4_sqlalchemy:test/base/test_utils.py,1813,BUG,MAJOR,"Correct one of the identical sub-expressions on both sides of operator ""|""."
eecs4313group4_sqlalchemy:test/base/test_utils.py,1892,BUG,MAJOR,"Correct one of the identical sub-expressions on both sides of operator ""-""."
eecs4313group4_sqlalchemy:test/base/test_utils.py,1907,BUG,MAJOR,Remove or refactor this statement; it has no side effects.
eecs4313group4_sqlalchemy:test/base/test_utils.py,1952,BUG,MAJOR,"Correct one of the identical sub-expressions on both sides of operator ""&""."
eecs4313group4_sqlalchemy:test/base/test_utils.py,2010,BUG,MAJOR,"Correct one of the identical sub-expressions on both sides of operator ""^""."
