package,file_path,subsystem_frequency
hibernate,hibernate-core,377
openjpa,openjpa-kernel,340
sqlalchemy,test,240
openjpa,openjpa-jdbc,232
openjpa,openjpa-persistence,158
ebean,ebean-core,149
openjpa,openjpa-lib,118
sqlalchemy,lib,80
openjpa,openjpa-slice,58
ponyorm,pony,54
hibernate,tooling,26
openjpa,openjpa-examples,24
hibernate,hibernate-testing,22
openjpa,openjpa-persistence-jdbc,20
hibernate,hibernate-spatial,19
ebean,ebean-api,18
ebean,ebean-test,16
sqlalchemy,examples,13
openjpa,openjpa-xmlstore,10
ebean,querybean-generator,8
ebean,kotlin-querybean-generator,7
openjpa,openjpa-jest,6
openjpa,pom.xml,6
hibernate,hibernate-envers,5
hibernate,hibernate-community-dialects,3
openjpa,openjpa-tools,2
ebean,ebean-ddl-generator,2
hibernate,hibernate-jfr,2
ebean,tests,1
hibernate,hibernate-proxool,1
hibernate,hibernate-c3p0,1
ebean,ebean-redis,1
hibernate,hibernate-jcache,1
