project,component,type,severity,text_range,tags,software_quality,severity_impact,message
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/flask/example/templates/index.html,BUG,MAJOR,"{'startLine': 1, 'endLine': 1, 'startOffset': 0, 'endOffset': 6}",['user-experience'],RELIABILITY,MEDIUM,Insert a <!DOCTYPE> declaration to before this <html> tag.
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/flask/example/templates/index.html,BUG,MAJOR,"{'startLine': 1, 'endLine': 1, 'startOffset': 0, 'endOffset': 6}","['accessibility', 'wcag2-a']",RELIABILITY,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/flask/example/templates/login.html,BUG,MAJOR,"{'startLine': 1, 'endLine': 1, 'startOffset': 0, 'endOffset': 6}",['user-experience'],RELIABILITY,MEDIUM,Insert a <!DOCTYPE> declaration to before this <html> tag.
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/flask/example/templates/login.html,BUG,MAJOR,"{'startLine': 1, 'endLine': 1, 'startOffset': 0, 'endOffset': 6}","['accessibility', 'wcag2-a']",RELIABILITY,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/flask/example/templates/reg.html,BUG,MAJOR,"{'startLine': 1, 'endLine': 1, 'startOffset': 0, 'endOffset': 6}",['user-experience'],RELIABILITY,MEDIUM,Insert a <!DOCTYPE> declaration to before this <html> tag.
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/flask/example/templates/reg.html,BUG,MAJOR,"{'startLine': 1, 'endLine': 1, 'startOffset': 0, 'endOffset': 6}","['accessibility', 'wcag2-a']",RELIABILITY,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/orm/core.py,BUG,MAJOR,"{'startLine': 880, 'endLine': 880, 'startOffset': 43, 'endOffset': 62}",['cwe'],RELIABILITY,MEDIUM,Fix this attribute access on a value that can be 'None'.
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/orm/core.py,BUG,MAJOR,"{'startLine': 2270, 'endLine': 2270, 'startOffset': 51, 'endOffset': 83}",['cwe'],RELIABILITY,MEDIUM,Fix this attribute access on a value that can be 'None'.
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/orm/core.py,BUG,MAJOR,"{'startLine': 2288, 'endLine': 2288, 'startOffset': 14, 'endOffset': 24}",['cwe'],RELIABILITY,MEDIUM,Fix this attribute access on a value that can be 'None'.
eecs4313group4_ponyorm,eecs4313group4_ponyorm:pony/orm/core.py,BUG,BLOCKER,"{'startLine': 3985, 'endLine': 3985, 'startOffset': 15, 'endOffset': 33}",[],RELIABILITY,HIGH,Return an object complying with iterator protocol.
